Level,Run,TimeSeconds,CPUSeconds,MaxMemoryMB
explore_black_cells,1,2.9907286167144775,2.90625,15.31640625
explore_black_cells,2,2.9615697860717773,2.90625,15.3203125
explore_black_cells,3,2.9809792041778564,2.90625,15.3203125
explore_black_cells,4,2.9807987213134766,2.921875,15.32421875
explore_black_cells,5,2.969538450241089,2.890625,15.3515625
explore_black_cells,6,2.980879068374634,2.90625,15.546875
explore_black_cells,7,2.972705602645874,2.90625,15.55078125
explore_black_cells,8,2.9616096019744873,2.90625,15.125
explore_black_cells,9,2.9550468921661377,2.90625,15.3515625
explore_black_cells,10,2.965221881866455,2.90625,15.32421875
explore_black_cells,11,2.9959018230438232,2.921875,15.359375
explore_black_cells,12,2.99064564704895,2.90625,15.3203125
explore_black_cells,13,2.95613956451416,2.921875,15.3203125
explore_black_cells,14,2.9663283824920654,2.90625,15.203125
explore_black_cells,15,2.969606876373291,2.921875,15.31640625
explore_black_cells,16,2.9573922157287598,2.890625,15.32421875
explore_black_cells,17,2.974987268447876,2.90625,15.35546875
explore_black_cells,18,2.981804609298706,2.875,15.41015625
explore_black_cells,19,2.9515774250030518,2.90625,15.17578125
explore_black_cells,20,2.988485097885132,2.90625,15.5546875
explore_black_cells,21,2.9636731147766113,2.90625,15.3203125
explore_black_cells,22,2.9856114387512207,2.90625,15.359375
explore_black_cells,23,2.9672608375549316,2.921875,15.31640625
explore_black_cells,24,2.973945379257202,2.90625,15.55078125
explore_black_cells,25,2.964372396469116,2.90625,15.32421875
explore_black_cells,26,2.972504138946533,2.90625,15.3203125
explore_black_cells,27,2.966639280319214,2.90625,15.3203125
explore_black_cells,28,2.9818203449249268,2.90625,15.5859375
explore_black_cells,29,3.0385971069335938,3.0,15.55078125
explore_black_cells,30,3.203970193862915,3.109375,15.31640625
explore_black_cells,31,3.076913833618164,3.0,15.359375
explore_black_cells,32,3.0358502864837646,3.0,15.3203125
explore_black_cells,33,3.008942127227783,2.90625,15.41015625
explore_black_cells,34,3.085860013961792,3.015625,15.35546875
explore_black_cells,35,3.023886203765869,3.015625,15.3203125
explore_black_cells,36,3.078355073928833,3.015625,15.3125
explore_black_cells,37,3.0230138301849365,3.0,15.41015625
explore_black_cells,38,3.0491180419921875,3.015625,15.359375
explore_black_cells,39,3.0350074768066406,2.984375,15.35546875
explore_black_cells,40,3.0340137481689453,3.015625,15.31640625
explore_black_cells,41,2.964035749435425,2.875,15.4140625
